model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_315,80.0,0.01,0.99,10,2000,22,525000.0,26.90909090909091,242.5909090909091,0.1280365415755068,0.09216047517955211,0.33585703471347667,0.2522691248616724,0.48021650132931676,0.8623606152705038,0.04470051652352929,0.07717925631750035,4.438090909090882,7.531263636363607,6.316883116883116,-21.66289222894234,-42.43423075617847,-23.231768419869727,18.772727272727273,221.0909090909091,8.136363636363637,13.173151515151558
model_316,80.0,0.01,0.99,10,4000,22,525000.0,26.90909090909091,124.63636363636364,0.1272633599689973,0.0837088315796576,0.26664074364593987,0.18435117825032038,0.317923864157692,0.5079329046617566,0.0484485717532636,0.08739632295845445,4.77036363636363,7.351227272727264,3.2454545454545456,-22.42457341541805,-33.07449198454203,-34.96325049449242,11.045454545454545,113.5909090909091,15.863636363636363,7.020696969696985
model_317,80.0,0.01,0.99,50,500,22,525000.0,26.90909090909091,764.6363636363636,0.06462486026364078,0.061099919031833656,0.21385658676576494,0.20497073923634426,0.9218843079142907,0.9405043611450833,0.03135635158961735,0.035115281319281814,1.2955454545454463,3.199072727272716,19.86103896103896,-57.40680742617753,-122.47308712790719,-32.14639484803997,25.681818181818183,695.1363636363636,1.2272727272727273,24.17345454545455
model_318,80.0,0.01,0.99,50,1000,22,525000.0,26.90909090909091,418.1363636363636,0.09784193964088667,0.08360730732633122,0.28468411855660974,0.25376160685359966,0.7898947986138399,0.9112350638546701,0.0448609650817382,0.05569240738291493,2.4094545454545444,5.0080363636363465,10.851948051948051,-31.353593570422888,-66.99928651998367,-22.712565277460683,22.90909090909091,379.8181818181818,4.0,19.114727272727297
model_319,80.0,0.01,0.99,50,2000,22,525000.0,26.90909090909091,220.9090909090909,0.13287977417258084,0.09367584533953276,0.33746622645976526,0.24564676151217044,0.4345960303186688,0.8173905628957008,0.04819956266415092,0.080583309525412,4.758454545454551,7.94890909090906,5.740259740259741,-21.119185472398303,-40.00626124228477,-24.22110213290961,18.136363636363637,200.9090909090909,8.772727272727273,12.421969696969729
model_320,80.0,0.01,0.99,50,4000,22,525000.0,26.90909090909091,116.0909090909091,0.13660333684340017,0.09204545175414691,0.2844759176684413,0.19894548822604569,0.3182269892905615,0.5418154610723294,0.053528393434356364,0.09312208260773733,4.708190476190445,8.031438095238066,3.0,-21.604221358586848,-31.45915056629893,-34.54039311836718,11.090909090909092,105.0,15.818181818181818,7.1711818181818385
model_321,80.0,0.01,0.99,200,500,22,525000.0,26.90909090909091,604.3636363636364,0.07632166094621722,0.06872437263688586,0.23477718126507988,0.21618401333299334,0.8010766897782697,0.8655443563166343,0.035229066430831506,0.04218567298624524,1.6600909090908644,4.259563636363629,15.661038961038962,-46.84963157303314,-98.14113863728856,-30.20387804090544,23.954545454545453,548.1363636363636,2.9545454545454546,21.514121212121232
model_322,80.0,0.01,0.99,200,1000,22,525000.0,26.90909090909091,350.5,0.10838296738093595,0.09084316890220173,0.29279787730064066,0.2533059759757829,0.6680555241675976,0.836337783071653,0.0459684333775415,0.06289542653645355,2.722090909090906,5.916581818181814,9.092207792207793,-28.215431219179667,-58.00634369399035,-24.13815679995615,21.272727272727273,318.22727272727275,5.636363636363637,17.44103030303033
model_323,80.0,0.01,0.99,200,2000,22,525000.0,26.90909090909091,192.27272727272728,0.14092675518576467,0.09985539212806821,0.3312173739963526,0.24568018862345242,0.4363954223312405,0.746895276159594,0.048071579352892475,0.08789010542247584,4.196666666666654,7.734885714285693,4.974025974025974,-20.49370502678365,-36.81803306136873,-25.9224501004002,16.954545454545453,174.0909090909091,9.954545454545455,11.399333333333368
model_324,80.0,0.01,0.99,200,4000,22,525000.0,26.90909090909091,104.9090909090909,0.13593579669825998,0.08859688478185558,0.25675544513789467,0.17548437137499895,0.22677879956410063,0.42932063978311263,0.047768081468482215,0.0965122181524979,5.001428571428549,7.493999999999984,2.7116883116883117,-22.42993993631376,-31.314860740640064,-36.85111589778697,10.0,94.9090909090909,16.90909090909091,6.185454545454565
model_325,80.0,0.01,0.9999,10,500,22,525000.0,26.90909090909091,883.0909090909091,0.05979710979703568,0.058576884879115096,0.2001772948315023,0.19705007167792443,0.9609706356066421,0.9791410910813897,0.02931334732482986,0.0324422610449464,1.13954545454545,2.7386090909090828,23.036363636363635,-66.69253596265224,-142.19994836676082,-35.711557033325214,26.545454545454547,806.2727272727273,0.36363636363636365,25.97718181818182
model_326,80.0,0.01,0.9999,10,1000,22,525000.0,26.90909090909091,469.95454545454544,0.0924223474437957,0.08067700313514034,0.273694928885396,0.2484727311813182,0.8322769698911737,0.9495687359557017,0.043394626470872194,0.05252067170989385,2.359909090909058,4.755236363636349,12.249350649350648,-35.226094914664856,-75.48428516016611,-23.960636155550592,23.727272727272727,428.72727272727275,3.1818181818181817,20.443939393939424
model_327,80.0,0.01,0.9999,10,2000,22,525000.0,26.90909090909091,243.45454545454547,0.12843245146328716,0.09046747986553229,0.3370029370572764,0.2463872420261514,0.4524324528345819,0.8648371130070891,0.04331861722252466,0.07741471882283908,4.715363636363623,7.5843909090908825,6.3441558441558445,-21.863496038051373,-42.74034267621363,-23.379618173515702,18.954545454545453,222.04545454545453,7.954545454545454,13.074303030303064
model_328,80.0,0.01,0.9999,10,4000,22,525000.0,26.90909090909091,124.81818181818181,0.12691063764917157,0.08505580189809013,0.2663695231111205,0.1875550188065902,0.3254860589961017,0.5079329046617566,0.04984565968157306,0.08712941153103317,4.610909090909074,7.327881818181807,3.250649350649351,-22.36438532817922,-33.03430575642199,-34.8930614776942,11.045454545454545,113.77272727272727,15.863636363636363,7.135424242424255
model_329,80.0,0.01,0.9999,50,500,22,525000.0,26.90909090909091,768.5909090909091,0.0642765647975616,0.06073779308782667,0.21278560659130905,0.20387527182136872,0.9212255463859639,0.9405043611450833,0.03114322781458616,0.0349297362027092,1.3056363636363388,3.1944909090908955,19.98051948051948,-57.814215196713,-123.25103153388022,-32.368534300856645,25.681818181818183,699.3181818181819,1.2272727272727273,24.166303030303038
model_330,80.0,0.01,0.9999,50,1000,22,525000.0,26.90909090909091,420.04545454545456,0.09715977665693803,0.0828378684660302,0.2831976483040927,0.2520570694382798,0.8072054229969975,0.9105763023263435,0.04523131050100688,0.055296841993894646,2.4136363636363565,5.02019999999998,10.903896103896104,-31.503287615271827,-67.29800309885833,-22.787748055296753,22.863636363636363,381.6363636363636,4.045454545454546,19.03439393939396
model_331,80.0,0.01,0.9999,50,2000,22,525000.0,26.90909090909091,221.6818181818182,0.1326592274426758,0.09246339027454148,0.3364780750273326,0.2409229741687393,0.4324068012417472,0.8141052180458441,0.04735461850616247,0.08047021455787252,4.878181818181793,7.86388181818179,5.758441558441558,-20.93565946944058,-39.88860524362508,-23.822822945984694,18.181818181818183,201.54545454545453,8.727272727272727,12.32824242424246
model_332,80.0,0.01,0.9999,50,4000,22,525000.0,26.90909090909091,116.36363636363636,0.1357932383657844,0.09372227267414047,0.2826309108178634,0.20382232431462147,0.312429325939322,0.5386669684737089,0.052661218054913125,0.09261890042749797,4.280952380952356,7.904961904761868,3.0090909090909093,-21.568066897940245,-31.44799455821229,-34.53719397689513,11.045454545454545,105.31818181818181,15.863636363636363,7.299121212121233
model_333,80.0,0.01,0.9999,200,500,22,525000.0,26.90909090909091,612.6818181818181,0.07623274832432539,0.06866020365467079,0.2357283506694625,0.21706028430623078,0.8131918122226852,0.8752449427435632,0.03515031624007672,0.042072212410216234,1.628636363636342,4.241054545454527,15.872727272727273,-47.163040186054225,-99.1210576276057,-29.95675873800577,24.136363636363637,555.5454545454545,2.772727272727273,21.66509090909093
model_334,80.0,0.01,0.9999,200,1000,22,525000.0,26.90909090909091,354.1818181818182,0.10803881386221635,0.09119901619287975,0.2930574254101496,0.25569247904103365,0.6937707900296289,0.84272518651788,0.04670065707818967,0.06263457380328016,2.682636363636345,5.758872727272724,9.17922077922078,-28.205872108952743,-58.290267282380434,-23.845492704057076,21.363636363636363,321.27272727272725,5.545454545454546,17.66306060606063
model_335,80.0,0.01,0.9999,200,2000,22,525000.0,26.90909090909091,194.04545454545453,0.13945000033350075,0.09806641601688905,0.3293590096798075,0.24146561660880977,0.44363305747115594,0.7480498089387253,0.04821782469015759,0.0867995883796899,4.211523809523805,7.752609523809501,5.020779220779221,-20.613579320372217,-37.10313831007879,-25.914254370973477,16.954545454545453,175.72727272727272,9.954545454545455,11.398181818181852
model_336,80.0,0.01,0.9999,200,4000,22,525000.0,26.90909090909091,105.72727272727273,0.13847923057185105,0.09009889125717548,0.26341181514158185,0.1772371151442893,0.23161428821197544,0.44168668643888936,0.05052211713146211,0.09809147468094213,5.173523809523761,7.614219047619018,2.724675324675325,-21.77076443292737,-30.68570634411419,-35.81329347733396,10.363636363636363,95.36363636363636,16.545454545454547,6.486030303030329
model_337,80.0,0.02,0.99,10,500,22,525000.0,26.90909090909091,877.6363636363636,0.0603718731939701,0.059086066807778476,0.2020817639686815,0.1988214254337761,0.9692678939039004,0.9823878443281427,0.029623062572200497,0.0327509100360888,1.1202727272726993,2.7117181818181813,22.874025974025976,-65.96938246735706,-140.90652466736648,-35.137175003715996,26.59090909090909,800.5909090909091,0.3181818181818182,25.99227272727273
model_338,80.0,0.02,0.99,10,1000,22,525000.0,26.90909090909091,467.8181818181818,0.09337999163112777,0.08162380085561317,0.27658003111294716,0.25132875095029356,0.8384358365999124,0.9547917737874351,0.043871328422354576,0.053041674417573174,2.3814545454545315,4.742318181818166,12.19090909090909,-34.989504278857915,-75.03027215889098,-23.83275670247775,23.818181818181817,426.6818181818182,3.090909090909091,20.536272727272756
model_339,80.0,0.02,0.99,10,2000,22,525000.0,26.90909090909091,242.4090909090909,0.12809392613093193,0.09220052959923884,0.3360100695862983,0.2523759432029019,0.48021650132931676,0.8623606152705038,0.04471102867557706,0.07721079277364366,4.438090909090882,7.531263636363607,6.311688311688312,-21.642904318524987,-42.394242839935835,-23.221780512365015,18.772727272727273,220.9090909090909,8.136363636363637,13.173151515151558
model_340,80.0,0.02,0.99,10,4000,22,525000.0,26.90909090909091,124.54545454545455,0.12729341504492395,0.08373773369050301,0.2666956354678818,0.1844037718675421,0.317923864157692,0.5079329046617566,0.04845748440923508,0.08741414827039741,4.77036363636363,7.351227272727264,3.242857142857143,-22.414532406743273,-33.05445097589914,-34.9582094858017,11.045454545454545,113.5,15.863636363636363,7.020727272727289
model_341,80.0,0.02,0.99,50,500,22,525000.0,26.90909090909091,764.6363636363636,0.06463679987153724,0.061108153332356335,0.21386391062766588,0.20497354985334593,0.9218843079142907,0.9405043611450833,0.031362806922671876,0.03512387940376446,1.2543636363636355,3.1204818181818097,19.85974025974026,-57.40310701508036,-122.46598556684938,-32.14439501192312,25.681818181818183,695.0909090909091,1.2272727272727273,24.173212121212124
model_342,80.0,0.02,0.99,50,1000,22,525000.0,26.90909090909091,418.09090909090907,0.0978581789819602,0.0836152570144833,0.2847008858959974,0.2537641266646397,0.7881465468655882,0.9112350638546701,0.04477760984141452,0.05570327304918246,2.4702727272727247,5.144318181818161,10.851948051948051,-31.356862069754516,-67.00286281359605,-22.715679879651926,22.90909090909091,379.8181818181818,4.0,19.114272727272752
model_343,80.0,0.02,0.99,50,2000,22,525000.0,26.90909090909091,220.9090909090909,0.13287977417258084,0.09364228708195386,0.33746622645976526,0.2454907937068815,0.4345960303186688,0.8173905628957008,0.04819956266415092,0.080583309525412,4.771000000000004,7.972745454545421,5.740259740259741,-21.1228041796895,-40.00988282639816,-24.22471940178971,18.136363636363637,200.9090909090909,8.772727272727273,12.417666666666701
model_344,80.0,0.02,0.99,50,4000,22,525000.0,26.90909090909091,116.0909090909091,0.13660333684340017,0.09204483957171655,0.2844759176684413,0.19894468014523764,0.3182269892905615,0.5418154610723294,0.053528393434356364,0.09312208260773733,4.708190476190445,8.031438095238066,3.0,-21.60426129122628,-31.45919051212794,-34.54043304441182,11.090909090909092,105.0,15.818181818181818,7.171121212121233
model_345,80.0,0.02,0.99,200,500,22,525000.0,26.90909090909091,604.1818181818181,0.07637189464800348,0.06877001182224962,0.23488506572354861,0.21628320008757426,0.8010766897782697,0.8655443563166343,0.03525048346984517,0.04221527927719932,1.6603636363635845,4.2598090909090836,15.655844155844157,-46.819739080282986,-98.08133933803127,-30.188938951408844,23.954545454545453,547.9545454545455,2.9545454545454546,21.51409090909093
model_346,80.0,0.02,0.99,200,1000,22,525000.0,26.90909090909091,350.6363636363636,0.10830953369726883,0.09086402870052636,0.2927065510480324,0.2536473736224015,0.6702760048363542,0.836337783071653,0.04595481214066948,0.06284252639922058,2.723999999999999,5.9168090909090925,9.096103896103896,-28.172284178444375,-57.977394253807645,-24.04245641349001,21.272727272727273,318.3636363636364,5.636363636363637,17.454909090909116
model_347,80.0,0.02,0.99,200,2000,22,525000.0,26.90909090909091,192.13636363636363,0.14074546158079373,0.09988243853869426,0.3309758876958048,0.2457107368491161,0.4363954223312405,0.7465560631338138,0.04809614296296894,0.08774584998040175,4.177904761904749,7.736066666666646,4.9714285714285715,-20.525645569983716,-36.844901099070746,-26.002381441803834,16.90909090909091,174.0,10.0,11.395666666666706
model_348,80.0,0.02,0.99,200,4000,22,525000.0,26.90909090909091,104.86363636363636,0.13603627093666523,0.08865125861197856,0.25680061900306694,0.1755078572331108,0.22677879956410063,0.42932063978311263,0.04780147446396749,0.0966123971389537,5.001333333333307,7.494133333333312,2.71038961038961,-22.425083249590966,-31.30500404112756,-36.84875921745903,10.0,94.86363636363636,16.90909090909091,6.185393939393961
model_349,80.0,0.02,0.9999,10,500,22,525000.0,26.90909090909091,883.1818181818181,0.059782897800826705,0.05856259466544798,0.20013358973810247,0.19700604922232878,0.9609706356066421,0.9791410910813897,0.02930623050212814,0.03243465410335182,1.13954545454545,2.7370272727272664,23.038961038961038,-66.70216571343866,-142.21914760229765,-35.716402041736444,26.545454545454547,806.3636363636364,0.36363636363636365,25.97718181818182
model_350,80.0,0.02,0.9999,10,1000,22,525000.0,26.90909090909091,470.0,0.09240416196274494,0.08056184731714147,0.27365877333961197,0.24812733067294399,0.8322769698911737,0.9495687359557017,0.04338462793944006,0.052510174054782005,2.361272727272696,4.816363636363625,12.250649350649352,-35.23762625388896,-75.5011879222384,-23.969481783350602,23.727272727272727,428.77272727272725,3.1818181818181817,20.420757575757605
model_351,80.0,0.02,0.9999,10,2000,22,525000.0,26.90909090909091,243.4090909090909,0.1284294616573778,0.09022042910680202,0.33701602781279616,0.24596312816105514,0.44788699828912737,0.8648371130070891,0.04314001980357673,0.07741229535176049,4.738090909090886,7.5948454545454265,6.3428571428571425,-21.899276069346463,-42.77110535614451,-23.4179068804929,18.954545454545453,222.0,7.954545454545454,13.030424242424278
model_352,80.0,0.02,0.9999,10,4000,22,525000.0,26.90909090909091,124.86363636363636,0.126857660323467,0.08498272208917736,0.2662997004606527,0.18740199822290685,0.3254860589961017,0.5079329046617566,0.049825775803421464,0.08709532488277329,4.617636363636349,7.327881818181807,3.251948051948052,-22.371564663388778,-33.046485138250794,-34.89774078959413,11.045454545454545,113.81818181818181,15.863636363636363,7.133060606060621
