model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_23,0.001,50,30,1,2000,229,180554.47598253275,5.681222707423581,90.29257641921397,0.21003991117150145,0.16235425137773105,0.4779275527538736,0.37358293987869545,0.47423980926742293,0.9439012396114889,0.06580748155217667,0.1320609754380315,4.460698689956326,6.467354585152835,6.470781253027921,-6.28975022447035,-14.382401743184257,-3.73250743454571,5.17467248908297,84.39301310043668,0.5065502183406113,3.9464861717612814
model_24,0.001,50,30,1,3000,229,180554.47598253275,5.681222707423581,60.44978165938865,0.2184388517761033,0.14418136844445495,0.4405211654007889,0.2916155218960904,0.3236900789366754,0.7491597437012284,0.06653379090956645,0.1466492336645909,5.38961946902655,7.24692743362832,4.354280918098138,-5.425620087436673,-10.83356495563085,-5.0535253825972255,3.947598253275109,56.50218340611354,1.7336244541484715,2.589400291120816
model_25,0.001,50,30,1,5000,229,180554.47598253275,5.681222707423581,36.48471615720524,0.18710699019705399,0.12374017770705484,0.3122203216085004,0.20695010280320617,0.18443125252462522,0.44311073519909894,0.059806393164711875,0.1423106477431176,5.255949748743721,6.597440201005029,2.660877259257638,-5.501693779796305,-8.742607706029363,-7.540625462967987,2.3842794759825328,34.10043668122271,3.296943231441048,1.5480029112081513
model_26,0.001,50,30,10,500,229,180554.47598253275,5.681222707423581,354.22707423580783,0.08578124456890303,0.08578124456890303,0.2633410343479243,0.2633410343479243,0.9989362893293023,0.9989362893293023,0.03885443501809004,0.04804257224429077,1.018882096069871,1.517271615720522,25.089719207867876,-28.260543041658547,-59.971871293347995,-13.247673675639149,5.672489082969432,331.04366812227073,0.008733624454148471,5.672489082969432
model_27,0.001,50,30,10,1000,229,180554.47598253275,5.681222707423581,179.15720524017468,0.14260491013940654,0.14169276142335957,0.37858938764631733,0.3766967194441605,0.97493511497493,0.9959644310080992,0.06862118175412248,0.08409670058342261,2.0731091703056745,3.034650655021836,12.719011588908169,-13.121034902445997,-29.192288473310068,-6.168377549328371,5.655021834061135,167.41484716157206,0.026200873362445413,5.61136826783115
model_28,0.001,50,30,10,2000,229,180554.47598253275,5.681222707423581,90.29257641921397,0.21015608402844926,0.16366072689937264,0.4775410456360815,0.3756570043747887,0.47623435765935124,0.9432086946503848,0.0676657947763253,0.13228540628837765,4.437109170305679,6.46791877729258,6.459754673275504,-6.298056884629524,-14.38938428104239,-3.741476155855407,5.17467248908297,84.36681222707423,0.5065502183406113,3.947991266375546
model_29,0.001,50,30,10,3000,229,180554.47598253275,5.681222707423581,60.45851528384279,0.21899087371354056,0.14420353472742373,0.44221126436199143,0.2921171157912573,0.32167691742569726,0.7453790387196501,0.06646027515289253,0.14689597935179766,5.395071428571425,7.26639196428571,4.353298792315322,-5.438681201491236,-10.847588468329214,-5.074838921784037,3.938864628820961,56.519650655021834,1.74235807860262,2.5868005822416302
model_30,0.001,50,30,10,5000,229,180554.47598253275,5.681222707423581,36.48908296943232,0.18564206507605296,0.12330542759156349,0.3097733202268813,0.20602160110824264,0.18305536010069787,0.4400089122282803,0.05955459617615971,0.14129172855547364,5.244492462311562,6.545295477386937,2.6645427730488613,-5.525198942348182,-8.768034206705869,-7.576270393138772,2.37117903930131,34.11790393013101,3.3100436681222707,1.540375545851528
model_31,0.001,50,30,50,500,229,180554.47598253275,5.681222707423581,355.24454148471614,0.08610169436340023,0.08610169436340023,0.2636747446553893,0.2636747446553893,0.9996640913671482,0.9996640913671482,0.03886483660909468,0.04829213442613858,0.9953711790393007,1.4820829694323114,25.13314332682387,-28.32760205953182,-60.11693801245755,-13.266995218440133,5.676855895196507,331.8515283842795,0.004366812227074236,5.676855895196507
model_32,0.001,50,30,50,1000,229,180554.47598253275,5.681222707423581,179.24017467248908,0.14261258787946998,0.1417585502864551,0.3778665199740212,0.37615783402444436,0.9614494419015354,0.995054678460792,0.06791275396085367,0.08426049155099877,2.0810742358078627,3.0860925764192135,12.724433169906815,-13.108337769666477,-29.18739845675942,-6.1255759850719675,5.655021834061135,167.4759825327511,0.026200873362445413,5.613804949053858
