model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_6791,125,0.2,5.0,3000,22,26.90909090909091,6.681818181818182,0.14680539569636622,0.12792620619001982,0.14105252750501215,0.11698215296870641,0.06223553929984102,0.14635172498540713,0.12088189588189588,0.3105769230769231,4.482235294117608,5.207976470588201,0.13896103896103892,-24.170698079240267,-24.61069803444551,-49.132516283455836,1.8181818181818181,4.863636363636363,25.09090909090909,1.5557272727272802
model_6792,125,0.2,5.0,5000,22,26.90909090909091,6.181818181818182,0.11822112919655674,0.10126097325801955,0.11067722159727186,0.08989512204105037,0.03976079182509354,0.11377596740964956,0.07516418050473778,0.2636476999093098,4.8382666666666205,5.521959999999961,0.13116883116883113,-24.566099725528307,-24.986099721496977,-49.76519063663488,1.5909090909090908,4.590909090909091,25.318181818181817,1.3655454545454615
model_6793,125,0.2,5.5,200,22,26.90909090909091,8.318181818181818,0.13812393506638368,0.11883285383187903,0.13173621062530758,0.1120620171702865,0.0577567502039029,0.13529407258214377,0.1068637801592347,0.30387852887852884,4.1763749999999575,5.135337499999948,0.1779220779220779,-24.253368022822198,-24.811406341240378,-49.15616704543129,1.9090909090909092,6.2272727272727275,25.0,1.628666666666674
model_6794,125,0.2,5.5,500,22,26.90909090909091,7.363636363636363,0.14271062191973305,0.12303560209994951,0.1337828251031875,0.11398037923973514,0.05894849092257435,0.13648581330081522,0.11195380377198559,0.3209302818393727,4.138874999999958,5.129999999999948,0.15584415584415579,-24.190212242032132,-24.685094779660243,-49.124589155036254,1.9090909090909092,5.454545454545454,25.0,1.628666666666674
model_6795,125,0.2,5.5,1000,22,26.90909090909091,7.0,0.1425508272587899,0.12237478922904778,0.13275877179199955,0.11278207360654197,0.0573810928034521,0.13491841518169298,0.11133298519662155,0.3230977355977356,4.21774999999996,5.137449999999948,0.1467532467532467,-24.160259268967277,-24.625188833530547,-49.10961266850382,1.8636363636363635,5.136363636363637,25.045454545454547,1.5832121212121286
model_6796,125,0.2,5.5,2000,22,26.90909090909091,6.590909090909091,0.14560688973089214,0.12542054984920592,0.13310081482207992,0.11314329393355484,0.0573810928034521,0.1345792021559128,0.12668127327218237,0.33760973874610234,4.2124999999999595,5.138074999999948,0.13636363636363633,-24.20939941048482,-24.63939889750989,-49.221672394245005,1.8181818181818181,4.7727272727272725,25.09090909090909,1.5463939393939468
model_6797,125,0.2,5.5,3000,22,26.90909090909091,6.590909090909091,0.14560688973089214,0.12542054984920592,0.13310081482207992,0.11314329393355484,0.0573810928034521,0.1345792021559128,0.12668127327218237,0.33760973874610234,4.2124999999999595,5.138074999999948,0.13636363636363633,-24.20939941048482,-24.63939889750989,-49.221672394245005,1.8181818181818181,4.7727272727272725,25.09090909090909,1.5463939393939468
model_6798,125,0.2,5.5,5000,22,26.90909090909091,6.0,0.12114565920155015,0.10057870612191895,0.10732395211740126,0.08801237699685246,0.03995685037920968,0.10705394963066026,0.08565554320901914,0.2969016488718149,4.538857142857105,5.658157142857081,0.12467532467532463,-24.52593888460144,-24.920938849223376,-49.737529811381386,1.6363636363636365,4.363636363636363,25.272727272727273,1.3750909090909158
model_6799,125,0.2,6.0,200,22,26.90909090909091,8.181818181818182,0.15085754503214807,0.12223067475374254,0.13648428464151993,0.10981289655510024,0.05037166138773418,0.13730939702942607,0.10919061998607452,0.3315785992663463,4.654624999999976,5.578487499999972,0.16753246753246748,-24.016790491309497,-24.538161860832496,-48.80155935200255,2.0454545454545454,5.863636363636363,24.863636363636363,1.6568484848484912
model_6800,125,0.2,6.0,500,22,26.90909090909091,7.181818181818182,0.1533085313137673,0.12407985648041638,0.1370006357645832,0.1101128789353547,0.049996003987283384,0.13693373962897526,0.10626225626225626,0.34146594146594145,4.700374999999974,5.579349999999972,0.14805194805194802,-23.955323228125067,-24.415227334463626,-48.77082572041033,2.0,5.181818181818182,24.90909090909091,1.6113939393939456
model_6801,125,0.2,6.0,1000,22,26.90909090909091,6.7272727272727275,0.15660571915432936,0.12668479695705648,0.1378583929970894,0.11074719673841647,0.049996003987283384,0.13693373962897526,0.11803915781188508,0.358913813459268,4.700374999999974,5.579349999999972,0.135064935064935,-23.91039217565634,-24.325365229526174,-48.748360194175966,2.0,4.7272727272727275,24.90909090909091,1.6113939393939456
