model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_567,0.0005,0.05,0.01,10,1000,458,0.5,180554.47598253275,5.681222707423581,59.47161572052402,0.18033396649676953,0.14315696382917564,0.34104659806686227,0.27271744845257195,0.3551808147043184,0.6091654631437575,0.07519353869069959,0.13081613446429138,4.05856179775281,5.9805078651685335,4.104312631851027,-5.618714845751947,-10.898454302752157,-5.664434636902496,3.7292576419213974,54.903930131004365,1.9519650655021834,2.9797903930131024
model_568,0.0005,0.05,0.01,10,2000,458,0.5,180554.47598253275,5.681222707423581,41.519650655021834,0.18510221700715343,0.1333364418100102,0.3193191541831551,0.22790434081631186,0.232394886273643,0.5062887336712151,0.07449228155648238,0.14050015467914778,4.98420809248555,6.813645086705193,2.8953271114339794,-4.9550161716304455,-8.636020337457554,-6.254252079983266,3.03056768558952,38.4410480349345,2.650655021834061,2.105467248908299
model_569,0.0005,0.05,0.01,10,3000,458,0.5,180554.47598253275,5.681222707423581,32.25764192139738,0.1745791160897406,0.11971900974479285,0.2802387013593678,0.19196060778002022,0.19370753472346072,0.4032659081079322,0.07396354883911195,0.13974672107100466,5.097280487804876,6.65136341463414,2.27982289553875,-4.988231792736702,-7.829937162685854,-7.174366007325444,2.4017467248908297,29.85589519650655,3.2794759825327513,1.5881542940320246
model_570,0.0005,0.05,0.01,10,5000,458,0.5,180554.47598253275,5.681222707423581,22.475982532751093,0.14386292801996847,0.09480093801034196,0.2049664726891314,0.13423326286233023,0.12093220840009947,0.26903277745173454,0.06439762275573828,0.12648365398431563,5.27562913907284,6.382899337748335,1.6520410718158551,-5.264729764902244,-7.233200864495009,-8.564337009865687,1.5851528384279476,20.890829694323145,4.096069868995633,1.0491994177583706
model_571,0.0005,0.05,0.01,50,500,458,0.5,180554.47598253275,5.681222707423581,65.117903930131,0.1620668381881188,0.13107132412618677,0.30657960703228515,0.25204770843556284,0.38308544674778944,0.5714976603012821,0.07371766239431636,0.1216383840179404,3.6149302325581463,5.453061627906974,4.432352071664642,-6.347284677933589,-12.127930465161366,-6.2866561074638065,3.467248908296943,59.98689956331878,2.2139737991266375,2.9051528384279486
model_572,0.0005,0.05,0.01,50,1000,458,0.5,180554.47598253275,5.681222707423581,51.76419213973799,0.17483961388991162,0.13444085095060276,0.3199728633163808,0.2485757445461664,0.3147344970296421,0.5538114976754843,0.07711233013226305,0.13244437961771996,4.289976608187141,6.000101754385967,3.575829465464861,-5.397475622640942,-9.9812783561703,-6.0488056969242985,3.336244541484716,47.77292576419214,2.3449781659388647,2.5978951965065504
model_573,0.0005,0.05,0.01,50,2000,458,0.5,180554.47598253275,5.681222707423581,37.18777292576419,0.17749833378701496,0.12664732161087738,0.29994837032685984,0.21247557416923235,0.2170397477198145,0.4693704766848872,0.0762011884001336,0.1399865491130143,4.939072289156634,6.691645783132533,2.5723777961763274,-4.860514069484053,-8.144800166568974,-6.537148313518012,2.7903930131004366,34.353711790393014,2.890829694323144,1.9513333333333334
model_574,0.0005,0.05,0.01,50,3000,458,0.5,180554.47598253275,5.681222707423581,29.4235807860262,0.1648695666184071,0.11111323268017265,0.2567371616434637,0.17297419233550848,0.17330223647973453,0.3624459405508725,0.0679939236473172,0.13484921589986157,5.165109677419358,6.613554838709674,2.0733220172300095,-4.944966555623581,-7.5248880489605225,-7.401730699784805,2.2183406113537116,27.20524017467249,3.462882096069869,1.4808588064046582
model_575,0.0005,0.05,0.01,50,5000,458,0.5,180554.47598253275,5.681222707423581,20.912663755458514,0.13723354365374332,0.08917347007828515,0.19116701488341056,0.12310416709617802,0.10817171205367968,0.24882801895709677,0.06177975900091835,0.12436251113337957,5.337664335664341,6.426732867132868,1.5264886497359147,-5.259284464735395,-7.084611594351321,-8.713433127001668,1.4759825327510918,19.436681222707424,4.205240174672489,0.9845356622998546
model_576,0.0005,0.05,0.01,100,500,458,0.5,180554.47598253275,5.681222707423581,56.751091703056765,0.15287800649284655,0.1204678279995665,0.28625847332501564,0.23076207310624378,0.33611844850927824,0.5227096500696552,0.06944895859583403,0.1174055614726024,3.7788484848484862,5.486998787878787,3.9490976087009435,-6.210431443781696,-11.252500453824632,-6.859702615616124,3.1004366812227073,52.37117903930131,2.5807860262008733,2.565874818049492
model_577,0.0005,0.05,0.01,100,1000,458,0.5,180554.47598253275,5.681222707423581,45.96069868995633,0.1643971427805444,0.12396565431310429,0.297838897730202,0.22870250658565872,0.2928297485258698,0.507226954767412,0.07289531936125677,0.12726252873582694,4.3206097560975625,5.917502439024387,3.2321313998550183,-5.439609798519535,-9.511768791285913,-6.65680541130665,2.982532751091703,42.47598253275109,2.6986899563318776,2.3150829694323147
model_578,0.0005,0.05,0.01,100,2000,458,0.5,180554.47598253275,5.681222707423581,33.81222707423581,0.165267039952673,0.11562483470846441,0.2750353294357447,0.1917591722364525,0.1894407840496975,0.41859756784300833,0.07147459264050543,0.1338614422971202,5.088810126582276,6.595862025316452,2.3865473808902946,-5.054705803512326,-8.043129387543622,-7.154380474378774,2.4716157205240177,31.314410480349345,3.2096069868995634,1.722104803493451
model_579,0.0005,0.05,0.01,100,3000,458,0.5,180554.47598253275,5.681222707423581,26.995633187772924,0.1559024493631633,0.10493662604252303,0.24461424147142685,0.16597000706734236,0.1668618470891782,0.3496439702803689,0.0661102166208285,0.13091113083469286,5.076052980132451,6.581339072847681,1.944733947269278,-5.083392089364674,-7.449567701638072,-7.852269348730159,2.0,24.995633187772924,3.6812227074235806,1.3464949053857356
