model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.001,50,20,50,500,34,127232.0,2.8529411764705883,246.44117647058823,0.024286815665605796,0.024286815665605796,0.104356928100199,0.104356928100199,1.0,1.0,0.011763332538659181,0.012416081852298855,1.1370588235294186,1.5341882352941225,27.549256938690966,-19.18740332781259,-40.721287951993816,-8.626343368663154,2.8529411764705883,233.6764705882353,0.0,2.8529411764705883
model_12,0.001,50,20,50,1000,34,127232.0,2.8529411764705883,125.82352941176471,0.045439294208316945,0.04478764875481392,0.17645842776347603,0.1743440998335418,0.9607843137254901,0.9967320261437908,0.021749766573295942,0.02367405875916717,2.1541176470588237,2.8798117647058796,14.043359421233282,-8.733572211596687,-19.757010378192962,-3.427735481239725,2.823529411764706,119.11764705882354,0.029411764705882353,2.7801960784313726
model_13,0.001,50,20,50,2000,34,127232.0,2.8529411764705883,63.911764705882355,0.08100859725240996,0.06773692206461147,0.2754493764712745,0.23037558024272936,0.4927287581699346,0.9869281045751634,0.021161589635854336,0.043526230230325834,3.913882352941179,4.881311764705888,7.132639587525151,-3.6517082008283577,-9.224229447289382,-1.1595652246566692,2.735294117647059,60.5,0.11764705882352941,2.283823529411763
model_14,0.001,50,20,50,3000,34,127232.0,2.8529411764705883,43.0,0.09400373056546861,0.07200635802751831,0.2883190961070513,0.22250667756171139,0.3957516339869281,0.8083333333333333,0.024623803009575885,0.0519835841313269,4.294193548387095,5.68157419354839,4.805949668599834,-2.697424176633695,-6.421029243474004,-1.5415039961547168,2.235294117647059,40.76470588235294,0.6176470588235294,1.7060588235294118
model_15,0.001,50,20,50,5000,34,127232.0,2.8529411764705883,26.0,0.08862190095490453,0.05944440439498148,0.22976709966558792,0.15852406944148428,0.17116013071895425,0.4790849673202614,0.019230769230769204,0.05203619909502259,4.991076923076927,5.922800000000001,2.9057617765416026,-2.9072011655946413,-5.184846159191285,-3.3272021982080835,1.3529411764705883,24.647058823529413,1.5,0.8976078431372544
model_16,0.001,50,20,100,500,34,127232.0,2.8529411764705883,246.5,0.024325107802127693,0.024325107802127693,0.10447164092167815,0.10447164092167815,1.0,1.0,0.011772358584395279,0.012436681366972555,1.1812352941176452,1.5756882352941173,27.542321946384188,-19.137941034151492,-40.670234297619096,-8.518853225947101,2.8529411764705883,233.61764705882354,0.0,2.8529411764705883
model_17,0.001,50,20,100,1000,34,127232.0,2.8529411764705883,125.79411764705883,0.0454401499366259,0.04448865193736867,0.17655542078049513,0.17346190024660388,0.9276960784313726,0.9967320261437908,0.021288515406162428,0.023671375287778202,2.050941176470591,2.760817647058825,14.026021940466325,-8.764040052796952,-19.77340188436459,-3.494653254660194,2.823529411764706,118.97058823529412,0.029411764705882353,2.760294117647059
model_18,0.001,50,20,100,2000,34,127232.0,2.8529411764705883,63.88235294117647,0.080788976216109,0.06731410994745454,0.2750940490725233,0.22971816767208306,0.47949346405228754,0.9869281045751634,0.02071661998132586,0.04338851649861422,3.979647058823527,4.995294117647056,7.143042075985324,-3.6705964040782773,-9.252591526357461,-1.173716489997508,2.735294117647059,60.588235294117645,0.11764705882352941,2.2762156862745107
model_19,0.001,50,20,100,3000,34,127232.0,2.8529411764705883,43.0,0.0939019340536375,0.07133760599391317,0.28669988704895083,0.2188893825101082,0.39722222222222225,0.791421568627451,0.025991792065663443,0.05198358413132691,4.373933333333332,5.9352466666666714,4.805949668599834,-2.7140403491111336,-6.437642071687935,-1.5581218407639095,2.235294117647059,40.76470588235294,0.6176470588235294,1.6931960784313724
model_20,0.001,50,20,100,5000,34,127232.0,2.8529411764705883,26.0,0.08635363121816733,0.05817713337636688,0.22194130609591933,0.15632350360331917,0.16527777777777777,0.46217320261437905,0.018099547511312195,0.050904977375565576,5.001461538461539,5.895315384615383,2.9092292726949935,-2.9620824991927557,-5.242963092904439,-3.409877496454561,1.3235294117647058,24.676470588235293,1.5294117647058822,0.8770196078431372
