model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_291,0.0001,0.05,0.1,50,500,44,0.5,525000.0,26.90909090909091,1.0454545454545454,0.039534329307056575,0.039534329307056575,0.034123505171299286,0.034123505171299286,0.0332972582972583,0.0332972582972583,0.053030303030303025,0.07954545454545454,2.082,2.082,0.015584415584415555,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.5454545454545454,26.727272727272727,0.18181818181818182
model_292,0.0001,0.05,0.1,50,1000,44,0.5,525000.0,26.90909090909091,0.7272727272727273,0.017389807162534434,0.017306473829201096,0.01145989427239427,0.011407810939060932,0.007323232323232323,0.010569985569985568,0.026515151515151512,0.0606060606060606,4.013333333333333,4.013333333333333,0.014285714285714256,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.5,26.772727272727273,0.13569696969696968
model_293,0.0001,0.05,0.1,50,2000,44,0.5,525000.0,26.90909090909091,0.5454545454545454,0.012396694214876032,0.00389807162534435,0.007973953757086281,0.0025077934114078634,0.0,0.007323232323232323,0.0,0.045454545454545456,8.116,8.116,0.012987012987012957,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.45454545454545453,26.818181818181817,0.02854545454545453
model_294,0.0001,0.05,0.1,50,3000,44,0.5,525000.0,26.90909090909091,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.014285714285714256,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.5,26.90909090909091,0.0
model_295,0.0001,0.05,0.1,50,5000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012987012987012957,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.45454545454545453,26.90909090909091,0.0
model_296,0.0001,0.05,0.1,100,500,44,0.5,525000.0,26.90909090909091,1.8636363636363635,0.03343043320316048,0.03343043320316048,0.03491565229833682,0.03491565229833682,0.03708513708513708,0.03708513708513708,0.04034090909090909,0.0694055944055944,2.0352,2.0352,0.02987012987012985,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.22727272727272727,1.0454545454545454,26.681818181818183,0.22727272727272727
model_297,0.0001,0.05,0.1,100,1000,44,0.5,525000.0,26.90909090909091,1.0454545454545454,0.04035631433956793,0.03989252936059155,0.037057485087376385,0.03665261557584926,0.00505050505050505,0.03708513708513708,0.011363636363636364,0.08225108225108224,4.054399999999999,4.054399999999999,0.018181818181818164,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.22727272727272727,0.6363636363636364,26.681818181818183,0.22442424242424241
model_298,0.0001,0.05,0.1,100,2000,44,0.5,525000.0,26.90909090909091,0.5909090909090909,0.04080578512396694,0.013119490358126705,0.03475966804280056,0.011192287130540123,0.0,0.03383838383838384,0.0,0.07954545454545454,8.051000000000002,8.051000000000002,0.01168831168831167,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.4090909090909091,26.727272727272727,0.059060606060606015
model_299,0.0001,0.05,0.1,100,3000,44,0.5,525000.0,26.90909090909091,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.014285714285714268,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.5,26.90909090909091,0.0
model_300,0.0001,0.05,0.1,100,5000,44,0.5,525000.0,26.90909090909091,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010389610389610367,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.36363636363636365,26.90909090909091,0.0
model_301,0.0001,0.05,0.2,1,500,44,0.5,525000.0,26.90909090909091,0.8636363636363636,0.01680705657978385,0.01680705657978385,0.01139623244402656,0.01139623244402656,0.010569985569985568,0.010569985569985568,0.04545454545454545,0.056818181818181816,1.9173333333333333,1.9173333333333333,0.014285714285714261,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.5,26.772727272727273,0.13636363636363635
model_302,0.0001,0.05,0.2,1,1000,44,0.5,525000.0,26.90909090909091,0.5909090909090909,0.01170798898071625,0.01170798898071625,0.007908757908757905,0.007908757908757905,0.007323232323232323,0.007323232323232323,0.03409090909090909,0.03787878787878787,3.904,3.904,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.45454545454545453,26.818181818181817,0.09090909090909091
model_303,0.0001,0.05,0.2,1,2000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.008264462809917354,0.0029531680440771364,0.005476451259583786,0.0019569185834246044,0.0,0.00505050505050505,0.0,0.022727272727272728,7.855999999999999,7.855999999999999,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.4090909090909091,26.863636363636363,0.01624242424242425
model_304,0.0001,0.05,0.2,1,3000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.45454545454545453,26.90909090909091,0.0
model_305,0.0001,0.05,0.2,1,5000,44,0.5,525000.0,26.90909090909091,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.4090909090909091,26.90909090909091,0.0
model_306,0.0001,0.05,0.2,10,500,44,0.5,525000.0,26.90909090909091,0.8636363636363636,0.01680705657978385,0.01680705657978385,0.01139623244402656,0.01139623244402656,0.010569985569985568,0.010569985569985568,0.04545454545454545,0.056818181818181816,1.9133333333333333,1.9133333333333333,0.014285714285714261,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.5,26.772727272727273,0.13636363636363635
model_307,0.0001,0.05,0.2,10,1000,44,0.5,525000.0,26.90909090909091,0.5909090909090909,0.01170798898071625,0.01170798898071625,0.007908757908757905,0.007908757908757905,0.007323232323232323,0.007323232323232323,0.03409090909090909,0.03787878787878787,3.968,3.968,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.45454545454545453,26.818181818181817,0.09090909090909091
model_308,0.0001,0.05,0.2,10,2000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.008264462809917354,0.0026556473829201046,0.005476451259583786,0.0017597663380795865,0.0,0.00505050505050505,0.0,0.022727272727272728,8.072000000000001,8.072000000000001,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.4090909090909091,26.863636363636363,0.014606060606060595
model_309,0.0001,0.05,0.2,10,3000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.45454545454545453,26.90909090909091,0.0
model_310,0.0001,0.05,0.2,10,5000,44,0.5,525000.0,26.90909090909091,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.4090909090909091,26.90909090909091,0.0
model_311,0.0001,0.05,0.2,50,500,44,0.5,525000.0,26.90909090909091,1.0454545454545454,0.039534329307056575,0.039534329307056575,0.034123505171299286,0.034123505171299286,0.0332972582972583,0.0332972582972583,0.053030303030303025,0.07954545454545454,2.066,2.066,0.015584415584415555,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.5454545454545454,26.727272727272727,0.18181818181818182
model_312,0.0001,0.05,0.2,50,1000,44,0.5,525000.0,26.90909090909091,0.6818181818181818,0.017389807162534434,0.0173595041322314,0.01145989427239427,0.011440954878454873,0.007323232323232323,0.010569985569985568,0.03409090909090909,0.0606060606060606,3.9773333333333336,3.9773333333333336,0.014285714285714256,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.5,26.772727272727273,0.13612121212121212
model_313,0.0001,0.05,0.2,50,2000,44,0.5,525000.0,26.90909090909091,0.5,0.008264462809917354,0.002650137741046827,0.005476451259583786,0.0017561153705731999,0.0,0.00505050505050505,0.0,0.022727272727272728,8.076,8.076,0.012987012987012957,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.45454545454545453,26.863636363636363,0.014575757575757568
model_314,0.0001,0.05,0.2,50,3000,44,0.5,525000.0,26.90909090909091,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.014285714285714256,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.5,26.90909090909091,0.0
model_315,0.0001,0.05,0.2,50,5000,44,0.5,525000.0,26.90909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012987012987012957,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.45454545454545453,26.90909090909091,0.0
model_316,0.0001,0.05,0.2,100,500,44,0.5,525000.0,26.90909090909091,1.6818181818181819,0.04822119799392526,0.04822119799392526,0.04083167303649194,0.04083167303649194,0.03975893387658093,0.03975893387658093,0.09526515151515151,0.12849650349650352,1.6426666666666667,1.6426666666666667,0.02597402597402595,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,0.9090909090909091,26.636363636363637,0.2727272727272727
model_317,0.0001,0.05,0.2,100,1000,44,0.5,525000.0,26.90909090909091,1.0,0.04995227393552752,0.04964585447779227,0.04109133003031224,0.04084481590132528,0.0077243018419489,0.03975893387658093,0.056818181818181816,0.13528138528138528,3.3499999999999996,3.3499999999999996,0.016883116883116864,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,0.5909090909090909,26.636363636363637,0.270969696969697
