model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_38,0.005,200,1000,229,180554.47598253275,5.681222707423581,126.75109170305677,0.16740287936074444,0.15863863878797774,0.416232198547273,0.3962673146035247,0.7952928065598243,0.974498633341428,0.07161659910717433,0.10120374564224019,2.588724890829692,4.0740777292576364,10.001251868867667,-8.578434012780663,-19.601702667561916,-4.363742916831084,5.4847161572052405,117.36244541484716,0.1965065502183406,5.192908296943232
model_39,0.005,200,2000,229,180554.47598253275,5.681222707423581,73.11353711790393,0.219299472946423,0.1612635772890648,0.47734058536590523,0.35351436006187437,0.4113681788001079,0.893454169414226,0.06712011951410264,0.14062237897705582,4.793070175438596,6.8083578947368375,5.617331174660231,-5.204220740215614,-11.614520849142442,-3.750162388808968,4.807860262008734,67.91266375545851,0.8733624454148472,3.521391557496362
model_40,0.005,200,3000,229,180554.47598253275,5.681222707423581,51.90829694323144,0.21005862663634892,0.14075627750594377,0.40911124589568537,0.27628232755493887,0.29631718817757857,0.6736336283375841,0.06480315358681978,0.14433420523756,5.3750825688073425,7.172226605504589,3.968842901347836,-5.136231121527669,-9.70463645316727,-5.515783914223153,3.576419213973799,48.33187772925764,2.1048034934497815,2.366576419213973
model_41,0.005,200,4000,229,180554.47598253275,5.681222707423581,40.40174672489083,0.19246052442513714,0.12821710175409937,0.33755120370746455,0.22666484516880647,0.23126352199046776,0.49284045114060526,0.06867962862401882,0.14068526457787162,5.389564356435637,6.733760396039599,3.0908955871482595,-5.322075100473716,-8.880483609703623,-6.905316260705925,2.703056768558952,37.698689956331876,2.978165938864629,1.7697729257641925
model_42,0.005,200,5000,229,180554.47598253275,5.681222707423581,32.842794759825324,0.18542096021878224,0.12309730352913537,0.2992933072367685,0.20028888387252577,0.1776970396672426,0.4100500510563444,0.06466808360037998,0.14520203851024496,5.446352331606216,6.747926424870465,2.4855018509115117,-5.281273191128011,-8.162886966539062,-7.600291630933402,2.2401746724890828,30.602620087336245,3.441048034934498,1.472154294032024
model_43,0.005,250,500,229,180554.47598253275,5.681222707423581,212.53711790393012,0.11866409197694938,0.11602569596001935,0.3282794444524754,0.3213228131036398,0.9230556197805106,0.979931204167012,0.052681444667063634,0.06872743204413986,1.5915283842794694,2.7685868995633167,16.934638523526875,-15.428509272116289,-33.755891902446905,-7.365254638173687,5.524017467248909,196.32751091703057,0.1572052401746725,5.4197205240174675
model_44,0.005,250,1000,229,180554.47598253275,5.681222707423581,128.67248908296943,0.16802851660930804,0.15998856452107602,0.41443626233667163,0.39582902930376507,0.7811217701726307,0.9675930692306238,0.07155384337272953,0.10205621109139643,2.6370829694323112,4.076620960698685,9.961029552362941,-8.788506112842674,-20.019211348199082,-4.465729914378444,5.458515283842795,119.20524017467248,0.22270742358078602,5.182852983988355
model_45,0.005,250,2000,229,180554.47598253275,5.681222707423581,73.96943231441048,0.21785345389337293,0.15367493749271274,0.4760299025636576,0.3406063419201061,0.4031630066853545,0.8950438200951943,0.06351446278263304,0.13954034330357984,4.9354847161572,6.9216,5.631711200946805,-5.357903763273785,-11.87674839233744,-3.83210590289043,4.781659388646288,68.81659388646288,0.8995633187772926,3.363921397379913
model_46,0.005,250,3000,229,180554.47598253275,5.681222707423581,52.427947598253276,0.21310847518431852,0.13901325274555534,0.4110727802845382,0.26976622633443126,0.2705916019363232,0.6747898329230206,0.06058716063364791,0.14688419208910924,5.368540540540535,7.110593693693688,3.9473092323148324,-5.127232993895067,-9.75041208887124,-5.4269971581973735,3.606986899563319,48.82096069868996,2.074235807860262,2.373959243085881
model_47,0.005,250,4000,229,180554.47598253275,5.681222707423581,40.62882096069869,0.1899634425664341,0.12874644116869896,0.3324752359179796,0.2250133028058832,0.24433928623820736,0.5016553319244046,0.07057362671317596,0.1390503407815587,5.403048543689316,6.738968932038834,3.081098644677425,-5.3569857343480205,-8.947095332919,-6.941843598817988,2.6550218340611353,37.97379912663755,3.0262008733624453,1.756963609898109
