model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_31,25,0.05,4.5,200,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.01412745098039218,0.0210997442455243,0.01071739130434785,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.04411764705882353,6.095999999999975,6.095999999999975,0.11442737306190078,-2.770896477609644,-2.787072948197879,-5.55692588937435,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.03805882352941182
model_32,25,0.05,4.5,500,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.01412745098039218,0.0210997442455243,0.01071739130434785,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.04411764705882353,6.095999999999975,6.095999999999975,0.11442737306190078,-2.770896477609644,-2.787072948197879,-5.55692588937435,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.03805882352941182
model_33,25,0.05,4.5,1000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.01412745098039218,0.0210997442455243,0.01071739130434785,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.04411764705882353,6.095999999999975,6.095999999999975,0.11442737306190078,-2.770896477609644,-2.787072948197879,-5.55692588937435,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.03805882352941182
model_34,25,0.05,4.5,2000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.01412745098039218,0.0210997442455243,0.01071739130434785,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.04411764705882353,6.095999999999975,6.095999999999975,0.11442737306190078,-2.770896477609644,-2.787072948197879,-5.55692588937435,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.03805882352941182
model_35,25,0.05,4.5,3000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.01412745098039218,0.0210997442455243,0.01071739130434785,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.04411764705882353,6.095999999999975,6.095999999999975,0.11442737306190078,-2.770896477609644,-2.787072948197879,-5.55692588937435,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.03805882352941182
model_36,25,0.05,4.5,5000,34,2.8529411764705883,1.0,0.02941176470588235,0.015568627450980425,0.021873738053573833,0.010944945483914418,0.0058823529411764705,0.020588235294117647,0.029411764705882353,0.058823529411764705,6.095999999999975,6.095999999999975,0.11095987690850984,-2.767661183491997,-2.780602359962585,-5.555308242315526,0.058823529411764705,0.9411764705882353,2.7941176470588234,0.03805882352941182
model_37,25,0.05,5.0,200,34,2.8529411764705883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1178948692152917,-2.8755882352941176,-2.8982352941176472,-5.717205882352941,0.0,1.0,2.8529411764705883,0.0
model_38,25,0.05,5.0,500,34,2.8529411764705883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1178948692152917,-2.8755882352941176,-2.8982352941176472,-5.717205882352941,0.0,1.0,2.8529411764705883,0.0
model_39,25,0.05,5.0,1000,34,2.8529411764705883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1178948692152917,-2.8755882352941176,-2.8982352941176472,-5.717205882352941,0.0,1.0,2.8529411764705883,0.0
model_40,25,0.05,5.0,2000,34,2.8529411764705883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1178948692152917,-2.8755882352941176,-2.8982352941176472,-5.717205882352941,0.0,1.0,2.8529411764705883,0.0
