model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_42,0.005,300,2000,22,525000.0,26.90909090909091,239.5,0.13096137262809962,0.09078347292233824,0.34033549858802475,0.24490772838528613,0.4297197171497509,0.8670196435769452,0.04298825051367035,0.0796943952436243,4.962454545454498,8.077245454545434,6.232467532467533,-20.810445373359745,-41.00763256174786,-22.348215415529328,19.136363636363637,218.13636363636363,7.7727272727272725,13.040787878787928
model_43,0.005,300,3000,22,525000.0,26.90909090909091,164.6818181818182,0.1347720591803085,0.09248053060568527,0.3180451726047169,0.22714982978177264,0.41536561472743716,0.696760683620111,0.05166112872218698,0.08673217049582922,4.482545454545443,7.958172727272699,4.293506493506493,-20.620046463810286,-34.549210959246025,-28.70091876154697,14.409090909090908,150.27272727272728,12.5,9.647787878787907
model_44,0.005,300,4000,22,525000.0,26.90909090909091,125.22727272727273,0.13097508972899763,0.0857047834468707,0.2802452622930419,0.19104591066153054,0.2904594020239157,0.5121844355486531,0.048811282289039665,0.08895220625984163,4.274090909090879,7.656336363636337,3.257142857142857,-22.31399774462489,-32.8889220280104,-34.799262875659416,11.227272727272727,114.0,15.681818181818182,7.157363636363647
model_45,0.005,300,5000,22,525000.0,26.90909090909091,100.86363636363636,0.12797753487063182,0.08902707093363983,0.2606972426149366,0.189932652545244,0.26129598145847666,0.47511212338401915,0.04563772144444551,0.0909262574465807,4.179999999999992,7.671954545454514,2.618181818181818,-22.952824014521315,-31.482814947960584,-38.27873763871077,9.227272727272727,91.63636363636364,17.681818181818183,6.196545454545472
model_46,0.01,10,1000,22,525000.0,26.90909090909091,212.36363636363637,0.12253114707167771,0.09779573914608591,0.27468625874556757,0.23158811597646026,0.4718660519640036,0.6575656325036305,0.05107322556360397,0.08201630345529361,3.4505454545454484,6.256672727272715,5.496103896103896,-26.371895968900574,-42.230688455045915,-36.12431790764608,13.454545454545455,192.36363636363637,13.454545454545455,10.663545454545469
model_47,0.01,10,2000,22,525000.0,26.90909090909091,129.27272727272728,0.14084867652757083,0.08954887098206933,0.2837415237385227,0.18836144260167645,0.2758574700787252,0.5600326706619195,0.05422420964502532,0.10141365145103239,5.041545454545449,8.107427272727257,3.3454545454545452,-23.036077237465733,-32.89892204172292,-36.83192756260987,11.136363636363637,117.0909090909091,15.772727272727273,7.264000000000021
model_48,0.01,10,3000,22,525000.0,26.90909090909091,95.68181818181819,0.12579100250205236,0.08768922001495799,0.2342779029175578,0.17107665781065828,0.26666222639180015,0.4232032567735503,0.06062733914958547,0.09760817524042541,3.828599999999998,7.292149999999976,2.4779220779220776,-22.977022146928817,-30.331830800676872,-39.48143600187297,8.954545454545455,86.72727272727273,17.954545454545453,5.9207878787879
model_49,0.01,10,4000,22,525000.0,26.90909090909091,75.4090909090909,0.110034104701783,0.07442761639703273,0.18896945158977668,0.1351177141848978,0.19607550678584074,0.3139084528086465,0.05348875587330048,0.09216387411488514,4.395368421052599,7.241347368421038,1.964935064935065,-24.913456697316906,-30.818423192601617,-44.09733708603819,6.636363636363637,68.77272727272727,20.272727272727273,4.226454545454558
model_50,0.01,10,5000,22,525000.0,26.90909090909091,62.90909090909091,0.10243117513761506,0.07456015723481785,0.16558819635076458,0.12828172287745565,0.18184003827257256,0.2561926126305755,0.05662955202808031,0.09042818228900998,3.6473684210526276,6.375547368421049,1.6415584415584414,-25.141474844322577,-30.1064710594301,-45.56806764585971,5.454545454545454,57.45454545454545,21.454545454545453,3.690848484848492
model_51,0.01,25,1000,22,525000.0,26.90909090909091,250.77272727272728,0.10890922592718238,0.09049320688313296,0.2675847688449005,0.23398735914798455,0.5026426876256713,0.6692272267225268,0.048810663713491825,0.06931910743466267,3.0872727272727234,5.618290909090896,6.5285714285714285,-26.93810236088259,-45.63417977473068,-34.044609108504,14.681818181818182,228.5,12.227272727272727,11.89306060606063
model_52,0.01,25,2000,22,525000.0,26.90909090909091,148.04545454545453,0.13284524734339412,0.09310267305650978,0.29099569043523266,0.2079302457829337,0.32005533311344087,0.5914253810009007,0.0547960090054733,0.09112766539390563,4.715818181818182,7.384109090909069,3.835064935064935,-22.454151754215335,-33.74096759562282,-34.62892565169341,12.318181818181818,134.22727272727272,14.590909090909092,8.482060606060632
